iter	RMSE
0	36.64677295
1	34.73773351
2	33.05141356
3	31.53891094
4	30.19752663
5	28.97150523
6	27.98397325
7	27.08138793
8	26.27285285
9	25.6390219
10	25.05643809
11	24.59709429
12	24.18907044
13	23.80846881
14	23.4488615
15	23.18771617
16	22.93885835
17	22.71458894
18	22.51269918
19	22.34615777
20	22.18625736
21	22.03211223
22	21.93187996
23	21.80214121
24	21.71925986
25	21.62670392
26	21.54417695
27	21.51749201
28	21.4301818
29	21.36139142
30	21.29696573
31	21.27706258
32	21.19368065
33	21.14413463
34	21.10925438
35	21.05560708
36	21.00072546
37	20.95411665
38	20.91606717
39	20.87742334
40	20.8632391
41	20.85151238
42	20.83618786
43	20.80109983
44	20.73583638
45	20.69123818
46	20.67166527
47	20.64812956
48	20.62471766
49	20.60512046
50	20.59296867
51	20.53855218
52	20.52266137
53	20.49391479
54	20.4702711
55	20.44194157
56	20.40180566
57	20.37061185
58	20.34791027
59	20.29776828
60	20.27595233
61	20.25371785
62	20.20741402
63	20.19351694
64	20.16420991
65	20.14627001
66	20.08667847
67	20.06162585
68	20.03997033
69	20.03168992
70	19.9979999
71	19.98611788
72	19.95404833
73	19.94207388
74	19.91656596
75	19.88260384
76	19.85096632
77	19.82202096
78	19.78336039
79	19.7659507
