iter	Passed	Remaining
0	0	41
1	1	41
2	1	41
3	2	40
4	2	40
5	3	40
6	3	39
7	4	38
8	4	38
9	5	37
10	5	36
11	6	36
12	6	35
13	7	35
14	8	34
15	8	34
16	9	33
17	9	33
18	10	32
19	10	32
20	11	31
21	11	31
22	12	30
23	12	29
24	13	29
25	13	28
26	14	28
27	15	28
28	15	27
29	16	26
30	16	26
31	17	25
32	17	25
33	18	24
34	18	24
35	19	23
36	19	22
37	20	22
38	20	21
39	21	21
40	21	20
41	22	20
42	22	19
43	23	19
44	24	18
45	24	18
46	25	17
47	25	17
48	26	16
49	26	16
50	27	15
51	27	14
52	28	14
53	28	13
54	29	13
55	29	12
56	30	12
57	30	11
58	31	11
59	31	10
60	32	10
61	33	9
62	33	9
63	34	8
64	34	7
65	35	7
66	35	6
67	36	6
68	36	5
69	37	5
70	37	4
71	38	4
72	38	3
73	39	3
74	39	2
75	40	2
76	40	1
77	41	1
78	41	0
79	42	0
